,index,brand_x,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit,brand_y,original_country
99,19,Toyota,C-HR_MID_1.8,2018,631900,THB,126594,Automatic,10480,THB/MONTH,Toyota,Japan
100,20,Honda,HR-V_RS_1.8,2018,725900,THB,110924,Automatic,12039,THB/MONTH,Honda,Japan
101,20,Honda,HR-V_RS_1.8,2018,725900,THB,110924,Automatic,12039,THB/MONTH,Honda,Japan
102,20,Honda,HR-V_RS_1.8,2018,725900,THB,110924,Automatic,12039,THB/MONTH,Honda,Japan
103,20,Honda,HR-V_RS_1.8,2018,740900,THB,110924,Automatic,12288,THB/MONTH,Honda,Japan
104,20,Honda,HR-V_RS_1.8,2018,740900,THB,110924,Automatic,12288,THB/MONTH,Honda,Japan
105,21,Honda,HR-V_E_LIMITED_1.8,2016,537900,THB,180118,Automatic,8921,THB/MONTH,Honda,Japan
106,21,Honda,HR-V_E_LIMITED_1.8,2016,537900,THB,180118,Automatic,8921,THB/MONTH,Honda,Japan
107,21,Honda,HR-V_E_LIMITED_1.8,2016,537900,THB,180118,Automatic,8921,THB/MONTH,Honda,Japan
108,21,Honda,HR-V_E_LIMITED_1.8,2016,548900,THB,180118,Automatic,9104,THB/MONTH,Honda,Japan
109,21,Honda,CR-V_S_2.0,2015,539900,THB,167815,Automatic,8954,THB/MONTH,Honda,Japan
110,22,Honda,CR-V_S_2.0,2015,528900,THB,167815,Automatic,8772,THB/MONTH,Honda,Japan
111,22,Honda,CR-V_S_2.0,2015,528900,THB,167815,Automatic,8772,THB/MONTH,Honda,Japan
112,22,Honda,CR-V_S_2.0,2015,528900,THB,167815,Automatic,8772,THB/MONTH,Honda,Japan
113,22,Honda,CR-V_S_2.0,2015,539900,THB,167815,Automatic,8954,THB/MONTH,Honda,Japan
114,22,Toyota,COROLLA_ALTIS_HYBRID_HIGH_1.8,2019,714900,THB,87225,Automatic,11857,THB/MONTH,Honda,Japan
115,23,Toyota,COROLLA_ALTIS_HYBRID_HIGH_1.8,2019,700900,THB,87225,Automatic,11624,THB/MONTH,Toyota,Japan
116,23,Toyota,COROLLA_ALTIS_HYBRID_HIGH_1.8,2019,700900,THB,87225,Automatic,11624,THB/MONTH,Toyota,Japan
117,23,Toyota,COROLLA_ALTIS_HYBRID_HIGH_1.8,2019,700900,THB,87225,Automatic,11624,THB/MONTH,Toyota,Japan
118,23,Toyota,COROLLA_ALTIS_HYBRID_HIGH_1.8,2019,714900,THB,87225,Automatic,11857,THB/MONTH,Toyota,Japan
