index,brand,model,year,price,currency,kilometers_driven,transmission_type,pay_per_month_value,pay_per_month_unit
108,Honda,HR-V_EL_1.8,2015,548900,THB,166584,Automatic,9104,THB/MONTH
109,Toyota,FORTUNER_G_2.5,2013,545900,THB,92563,Manual,9054,THB/MONTH
110,Honda,CITY_V+_1.5,2018,469900,THB,134840,Automatic,7793,THB/MONTH
111,Toyota,C-HR_HYBRID_MID_1.8,2018,705900,THB,132964,Automatic,11707,THB/MONTH
112,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,THB,111009,Automatic,17777,THB/MONTH
113,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2015,442900,THB,159867,Automatic,7345,THB/MONTH
114,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2017,486900,THB,101662,Automatic,8075,THB/MONTH
115,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2017,494900,THB,120267,Automatic,8208,THB/MONTH
116,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2019,947900,THB,101836,Automatic,15721,THB/MONTH
117,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2018,837900,THB,48884,Automatic,13897,THB/MONTH
118,Toyota,CAMRY_G_EXTREMO_2.0,2017,765900,THB,104914,Automatic,12702,THB/MONTH
119,Ford,EVEREST_TITANIUM+_(2WD)_2.0,2019,977900,THB,50333,Automatic,16218,THB/MONTH
120,Honda,CIVIC_TURBO_(HATCHBACK)_1.5,2017,795900,THB,141510,Automatic,13200,THB/MONTH
121,MG,MG3_D_TWO_TONE_1.5,2019,328900,THB,77408,Automatic,5455,THB/MONTH
122,Mazda,2_XD_HIGH_CONNECT_1.5,2017,434900,THB,148374,Automatic,7213,THB/MONTH
123,Nissan,JUKE_V_1.6,2014,336900,THB,124815,Automatic,5587,THB/MONTH
124,Isuzu,D-MAX_SPACECAB_HI-LANDER_ZP_1.9,2019,557900,THB,35930,Manual,9253,THB/MONTH
125,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.2,2016,536900,THB,171439,Manual,8904,THB/MONTH
126,MG,MG3_D_1.5,2016,225900,THB,138970,Automatic,3747,THB/MONTH
127,Subaru,XV_I-P_2.0,2018,692900,THB,89959,Automatic,11492,THB/MONTH
128,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2019,606900,THB,66185,Automatic,10065,THB/MONTH
129,Toyota,CAMRY_G_2.0,2018,695900,THB,84215,Automatic,11542,THB/MONTH
130,Toyota,C-HR_HYBRID_HIGH_1.8,2018,699900,THB,128582,Automatic,11608,THB/MONTH
131,Honda,CIVIC_EL_1.8,2016,613900,THB,163812,Automatic,10182,THB/MONTH
132,Toyota,CAMRY_G_2.0,2019,921900,THB,88440,Automatic,15290,THB/MONTH
133,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2019,549900,THB,107181,Automatic,9120,THB/MONTH
134,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,373900,THB,56230,Manual,6201,THB/MONTH
135,Ford,RANGER_OPEN_CAB_HI-RIDER_XLT_2.2,2019,478900,THB,68913,Manual,7943,THB/MONTH
136,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,357900,THB,124305,Automatic,5936,THB/MONTH
137,MG,HS_X_SUNROOF_1.5,2019,647900,THB,56927,Automatic,10745,THB/MONTH
138,Mazda,2_SPORTS_HIGH_CONNECT_1.3,2019,432900,THB,90375,Automatic,7180,THB/MONTH
139,Isuzu,MU-X_DA_DVD_2WD_3.0,2017,787900,THB,122683,Automatic,13067,THB/MONTH
140,Mitsubishi,ATTRAGE_GLX_1.2,2018,313900,THB,98281,Automatic,5206,THB/MONTH
141,Toyota,YARIS_ATIV_S_1.2,2018,434900,THB,113613,Automatic,7213,THB/MONTH
142,Ford,RANGER_DOUBLE_CAB_HI-RIDER_WILDTRAK_2.0,2019,688900,THB,60843,Automatic,11425,THB/MONTH
143,Honda,HR-V_RS_1.8,2018,726900,THB,67343,Automatic,12056,THB/MONTH
144,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2WD_2.4,2019,999900,THB,102775,Automatic,16583,THB/MONTH
145,Toyota,YARIS_G+_1.2,2019,453900,THB,93797,Automatic,7528,THB/MONTH
146,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_(ABS)_2.2,2018,404900,THB,69535,Manual,6715,THB/MONTH
147,Suzuki,SWIFT_GLX_NAVI_1.2,2018,435900,THB,88167,Automatic,7229,THB/MONTH
148,Toyota,INNOVA_CRYSTA_G_2.8,2018,697900,THB,73460,Automatic,11575,THB/MONTH
149,Toyota,VIOS_E_1.5,2018,403900,THB,124144,Automatic,6699,THB/MONTH
150,Honda,CIVIC_EL_1.8,2019,718900,THB,115125,Automatic,11923,THB/MONTH
151,Toyota,C-HR_MID_1.8,2019,730900,THB,97864,Automatic,12122,THB/MONTH
152,Mazda,3_S_SPORTS_2.0,2014,412900,THB,112371,Automatic,6848,THB/MONTH
153,Toyota,HILUX_REVO_DOUBLE_CAB_E_PLUS_PRERUNNER_2.4,2018,630900,THB,104770,Automatic,10463,THB/MONTH
154,Mazda,BT-50_PRO_FREESTYLE_CAB_HI-RACER_2.2,2019,373900,THB,111092,Manual,6201,THB/MONTH
155,Ford,RANGER_RAPTOR_DOUBLE_CAB_BI-TURBO_4WD_2.0,2018,1152900,THB,133634,Automatic,19121,THB/MONTH
156,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2018,551900,THB,108985,Automatic,9153,THB/MONTH
157,Mitsubishi,MIRAGE_GLX_1.2,2019,340900,THB,60081,Automatic,5654,THB/MONTH
158,Honda,MOBILIO_RS_1.5,2017,478900,THB,140335,Automatic,7943,THB/MONTH
159,Nissan,TEANA_200_XL_NAVI_2.0,2014,498900,THB,150716,Automatic,8274,THB/MONTH
160,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,THB,113790,Automatic,17777,THB/MONTH
161,Honda,CITY_S_1.5,2019,439900,THB,99633,Automatic,7296,THB/MONTH
162,Toyota,VIOS_S_1.5,2018,462900,THB,62941,Automatic,7677,THB/MONTH
163,Honda,CITY_SV_1.5,2016,424900,THB,94059,Automatic,7047,THB/MONTH
164,Honda,CITY_SV_1.5,2013,339900,THB,162902,Automatic,5637,THB/MONTH
165,Toyota,YARIS_G_1.2,2014,333900,THB,42752,Automatic,5538,THB/MONTH
166,Mazda,2_HIGH_PLUS_1.3,2017,401900,THB,147076,Automatic,6666,THB/MONTH
167,Honda,CIVIC_E_1.8,2019,679900,THB,110401,Automatic,11276,THB/MONTH
168,MG,ZS_X_1.5,2018,459900,THB,58843,Automatic,7627,THB/MONTH
169,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2019,552900,THB,95083,Manual,9170,THB/MONTH
170,Nissan,NP300_NAVARA_KING_CAB_S_2.5,2019,379900,THB,70486,Manual,6301,THB/MONTH
171,Mitsubishi,MIRAGE_GLX_1.2,2018,264900,THB,80563,Manual,4393,THB/MONTH
172,Suzuki,CIAZ_RS_1.2,2016,323900,THB,131857,Automatic,5372,THB/MONTH
173,Nissan,MARCH_S_1.2,2017,230900,THB,84238,Manual,3829,THB/MONTH
174,Toyota,CAMRY_G_2.5,2018,851900,THB,87845,Automatic,14129,THB/MONTH
175,Mitsubishi,ATTRAGE_GLX_1.2,2017,291900,THB,80646,Automatic,4841,THB/MONTH
176,Ford,ECOSPORT_TREND_1.5,2016,342900,THB,159747,Automatic,5687,THB/MONTH
177,Mazda,3_SP_2.0,2019,798900,THB,89810,Automatic,13250,THB/MONTH
178,Mazda,CX-3_S_2.0,2018,577900,THB,69436,Automatic,9584,THB/MONTH
179,Mitsubishi,ATTRAGE_GLS_LIMITED_EDITION_1.2,2018,332900,THB,98839,Automatic,5521,THB/MONTH
180,Honda,CIVIC_EL_1.8,2017,660900,THB,107271,Automatic,10961,THB/MONTH
181,Nissan,PULSAR_V_1.8,2013,322900,THB,101461,Automatic,5355,THB/MONTH
182,Hyundai,GRAND_STAREX_VIP_2.5,2017,1181900,THB,72829,Automatic,19602,THB/MONTH
183,Honda,ACCORD_EL_2.4,2018,806900,THB,132513,Automatic,13382,THB/MONTH
184,Nissan,X-TRAIL_V_4WD_2.0,2014,458900,THB,130485,Automatic,7611,THB/MONTH
185,Mitsubishi,ATTRAGE_GLX_1.2,2014,203900,THB,71140,Manual,3382,THB/MONTH
186,Honda,CIVIC_TURBO_RS_1.5,2016,702900,THB,111866,Automatic,11658,THB/MONTH
187,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_4WD_2.4,2019,589900,THB,96483,Manual,9783,THB/MONTH
188,Honda,CIVIC_EL_1.8,2019,718900,THB,66734,Automatic,11923,THB/MONTH
189,Toyota,YARIS_ATIV_HIGH_1.2,2019,439900,THB,39268,Automatic,7296,THB/MONTH
190,Honda,CIVIC_EL_1.8,2017,641900,THB,160609,Automatic,10646,THB/MONTH
191,Honda,CIVIC_EL_1.8,2016,613900,THB,99265,Automatic,10182,THB/MONTH
192,Mazda,3_S_SPORTS_2.0,2018,573900,THB,144720,Automatic,9518,THB/MONTH
193,Toyota,VIOS_J_1.5,2018,393900,THB,102681,Automatic,6533,THB/MONTH
194,Honda,ACCORD_EL_2.4,2018,806900,THB,70263,Automatic,13382,THB/MONTH
195,Toyota,CAMRY_G_2.0,2018,695900,THB,115435,Automatic,11542,THB/MONTH
196,Toyota,SIENTA_G_1.5,2019,551900,THB,82602,Automatic,9153,THB/MONTH
197,Honda,CIVIC_TURBO_(HATCHBACK)_1.5,2017,806900,THB,122695,Automatic,13382,THB/MONTH
