,brand,model,year,price,currency,pay_per_month,kilometers_driven,transmission_type
122,Toyota,FORTUNER_G_2.5,2013,545900,บาท,9054 บาท /เดือน,92563,เกียร์ธรรมดา
123,Honda,CITY_V+_1.5,2018,469900,บาท,7793 บาท /เดือน,134840,Automatic
124,Toyota,C-HR_HYBRID_MID_1.8,2018,705900,บาท,11707 บาท /เดือน,132964,Automatic
125,Ford,EVEREST_TITANIUM+_4WD_2.0,2018,1071900,บาท,17777 บาท /เดือน,111009,Automatic
126,Ford,RANGER_DOUBLE_CAB_HI-RIDER_XLT_2.2,2015,442900,บาท,7345 บาท /เดือน,159867,Automatic
127,Toyota,HILUX_REVO_SMART_CAB_E_PRERUNNER_2.4,2017,486900,บาท,8075 บาท /เดือน,101662,Automatic
128,Toyota,HILUX_REVO_SMART_CAB_E_PLUS_PRERUNNER_2.4,2017,494900,บาท,8208 บาท /เดือน,120267,Automatic
129,Subaru,FORESTER_I-S_ES_(EYE-SIGHT)_2.0,2019,947900,บาท,15721 บาท /เดือน,101836,Automatic
130,Honda,CIVIC_E_1.8,2019,660900,บาท,10961 บาท /เดือน,110529,Automatic
131,Mitsubishi,PAJERO_SPORT_GT_PREMIUM_2.4,2018,837900,บาท,13897 บาท /เดือน,48884,Automatic
132,Toyota,CAMRY_G_EXTREMO_2.0,2017,765900,บาท,12702 บาท /เดือน,104914,Automatic
133,Ford,EVEREST_TITANIUM+_(2WD)_2.0,2019,977900,บาท,16218 บาท /เดือน,50333,Automatic
134,Honda,CIVIC_TURBO_(HATCHBACK)_1.5,2017,795900,บาท,13200 บาท /เดือน,141510,Automatic
135,MG,MG3_D_TWO_TONE_1.5,2019,328900,บาท,5455 บาท /เดือน,77408,Automatic
136,Mazda,2_XD_HIGH_CONNECT_1.5,2017,434900,บาท,7213 บาท /เดือน,148374,Automatic
137,Ford,ECOSPORT_TREND_1.5,2014,267900,บาท,4443 บาท /เดือน,63506,Automatic
138,Nissan,JUKE_V_1.6,2014,336900,บาท,5587 บาท /เดือน,124815,Automatic
139,Isuzu,D-MAX_SPACECAB_HI-LANDER_ZP_1.9,2019,557900,บาท,9253 บาท /เดือน,35930,เกียร์ธรรมดา
